Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
5-27	27	5	5	Dishes	R	M	1701.204	503.737	501.002
5-27	27	5 (PM)	5	Cups	U	M	1844.74	541.53	534.87
5-28	28	5	5	Dishes	R	M	1547.02	485.09	469.78
5-29	29	5	5	Dishes	R	M	1847.033	560.025	557.741
5-3	3	5 (AM)	5	Cups	L	M	1692.88	526.33	533.54
5-3	3	5	5	Dishes	R	M	1680.16	517.33	547.34
5-30	30	5	5	Dish	R	M	1605.08	502.36	472.82
5-30	30	5 (PM)	5	Cups	R	M	1630.68	498.34	473.51
5-31	31	5	5	Dishes	R	M	1714.38	532.38	495.29
5-32	32	5	5	Dishes	R	M	1458.15	493.8	463.51
5-33	33	5	5	Dishes	R	M	1686.514	513.232	518.68
5-33	33	5 (PM)	5	Cups	R	M	1656.28	481.13	488.12
5-34	34	5	5	Dishes	R	M	1342.72	396.7	357.61
5-34	34	5 (PM)	5	Cups	R	M	1571.48	506.84	497.73
5-35	35	5	5	Dishes	L	M	1773.895	543.392	542.134
5-35	35	5	5	Dishes	R	M	1637.78	516.61	519.75
5-35	35	5 (PM)	5	Cups	R	M	1585.26	487.08	484.97
5-36	36	5	5	Dish	R	M	1625.35	509.98	511.23
5-36	36	5 (PM)	5	Cups	R	M	1600.87	498.17	508.64
5-37	37	5	5	Dish	L	M	1671.29	532.49	517.56
5-38	38	5	5	Dishes	R	M	1756.845	545.331	555.503
5-39	39	5	5	Dishes	R	M	1782.69	535.01	532.81
5-39	39	5	5	Dishes	R	M		503.102	505.034
5-39	39	5	5	Cups	U	M	1713.88	496.05	505.13
5-39	39	5	5	Cups	U	M	1747	499.02	490.66
5-4	4	5	5	Cups	R	M	1720.45	533.91	514.14
5-4	4	5	5	Dishes	R	M	1567.51	488.09	399.28
5-40	40	5	5	Cups	R	M	1819.06	520.08	521.21
5-40	40	5	5	Dishes	R	M	1569.006	478.812	495.878
5-41	41	5	5	Dish	R	M	1669.1	498.94	490.49
5-42	42	5 (AM)	5	Cups	L	M	1876.92	549.99	535.45
5-42	42	5	5	Dishes	R	M	1649.96	472.86	438.15
5-43	43	5 (AM)	5	Cups	L	M	1795.38	514.47	497.48
5-43	43	5	5	Dish	R	M		498.94	472.68
5-44	44	5	5	Dishes	R	M	1516.975	451.453	448.098
5-45	45	5	5	Dish	R	M	1561.69	462.6	461.75
5-46	46	5	5	Dish	L	M	1669.58	468.02	443.42
5-46	46	5 (PM)	5	Cups	U	M	1613.58	515.2	485.96
5-47	47	5	5	Dish	L	M	1651.66	497.17	
5-48	48	5	5	Dish	R	M	1765.44	520.15	483.52
5-49	49	5	5	Dish	L	M	1724.88	532.85	523.43
5-5	5	5	5	Dishes	R	M	1786.797	542.178	540.083
5-50	50	5	5	Dish	L	M	1596.27		
5-51	51	5	5	Dish	R	M	1737.44	525.3	540.05
5-51	51	5 (PM)	5	Cups	U	M	1688.21	490.68	503.68
5-51	51	5 (PM)	5	Cups	U	M	1692.47	514.74	497.58
5-53	53	5	5	Dish	R	M	1613.85	502.35	508.79
5-54	54	5	5	Dishes	U	M	1837.433	575.798	572.375
5-56	56	5	5	Dishes	R	M	1616.855	490.783	502.965
5-6	6	5	5	Dishes	R	M	1905.232	592.674	555.362
5-7	7	5	5	Dishes	L	M	1599.56	482.53	482.62
5-8	8	5	5	Dishes	R	M	1603.19	499.76	502.51
5-8	8	5 (PM)	5	Cups	R	M	1584.53	455.78	
5-9	9	5	5	Cups	R	M	1830.19	536.14	541.93
5-9	9	5	5	Dishes	R	M	1467.8	463.84	451.9
6-11	11	6	6	Cups	L	M	1671.1	499.448	513.823
6-11	11	6	6	Dishes	R	M	1663.07	513.15	515.37
6-12	12	6	6	Cups	R	M	1708.964	529.979	482.332
6-14	14	6	6	Cups	L	M	1660.105	494.544	450.309
6-15	15	6	6	Cups	L	M	1617.488	477.128	476.623
6-16	16	6	6	Dishes	R	M	1580.95	496.42	495.93
6-16	16	6	6	Cups	U	M	1682.409	554.26	518.863
6-16	16	6	6	Cups	U	M	1676.022	533.833	535.214
