Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
5-1	1	5	5	Cups	R	F	1517.14	451.02	4334.26
5-1	1	5	5	Dishes	R	F	1594.05	458.07	460.12
5-10	10	5	5	Dishes	R	F	1641.412	468.146	475.65
5-11	11	5 (AM)	5	Cups	U	F	1524.01	481.41	427.1
5-11	11	5 (AM)	5	Cups	U	F	1540.46	476.3	446.89
5-11	11	5	5	Dishes	L	F	1447.35	434.61	439.02
5-12	12	5	5	Dishes	R	F	1676.26	505.83	466.86
5-14	14	5 (PM)	5	Cups	R	F	1605.66	458.92	476.16
5-14	14	5	5	Dishes	R	F	1540.748	465.484	496.611
5-15	15	5	5	Cups	R	F	1615.05	480.93	489.99
5-15	15	5	5	Dishes	R	F	1521.87	442.03	442.71
5-16	16	5	5	Cups	R	F	1669.59	526.27	500.81
5-16	16	5	5	Dishes	R	F	1713.51	526.27	500.66
5-17	17	5	5	Dishes	L	F	1491.25	458.45	435.66
5-17	17	5	5	Cups	R	F	1613.54	488.97	476.51
5-19	19	5	5	Dishes	L	F	1771.98	533.06	528.89
5-19	19	5	5	Cups	U	F	1687.72	507.09	461.03
5-19	19	5	5	Cups	U	F	1636.54	483.1	474.24
5-2	2	5	5	Dishes	R	F	1470.381	433.885	430.991
5-20	20	5 (PM)	5	Cups	U	F	1702.26	489.75	491.31
5-20	20	5 (PM)	5	Cups	U	F	1693.8	511.68	461.17
5-20	20	5	5	Dishes	R	F	1796.383	534.601	543.794
5-21	21	5 (PM)	5	Cups	R	F	1687.45	458.48	454.4
5-21	21	5	5	Dishes	R	F	1684.64	482.58	484.39
5-22	22	5	5	Dishes	R	F	1743.98	514.9	536.19
5-23	23	5 (PM)	5	Cups	L	F	1629.12	488.52	501
5-23	23	5	5	Dishes	R	F	1442.743	451.214	438.395
5-24	24	5 (PM)	5	Cups	R	F	1560.33	462.34	460.39
5-24	24	5	5	Dishes	L	F	1594.489	470.58	465.141
5-25	25	5 (AM)	5	Cups	R	F	1623.87	490.34	400.54
5-26	26	5	5	Dishes	R	F	1512.53	440.02	443.37
5-27	27	5 (PM)	5	Cups	L	F	1712.74	509.2	494.22
5-27	27	5	5	Dishes	R	F	1448.676	431.142	448.983
5-28	28	5	5	Dishes	R	F	1659.48	498.24	471.95
5-29	29	5	5	Dishes	L	F	1529.506	462.733	470.96
5-3	3	5 (AM)	5	Cups	U	F			
5-3	3	5	5	Dishes	R	F	1490.96	433.79	421.73
5-30	30	5	5	Dish	U	F	1582.28	461.05	443.4
5-31	31	5	5	Dishes	U	F	1600.22	462.24	462.75
